"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesReference"	"ecoSpeciesReferencePage"	"ecoSpeciesReferenceID"	"ecoSpeciesAuthorID"	"ecoSpeciesDate"	"ecoSpeciesBiotype"	"ecoSpeciesAuthor"
20200505075640	"Lowland moist riverine / groundwater forest (EN)"		"Astron (2019)"	"2"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-1311-2"	"Astron"
20200505080427	"Moist evergreen forest (EN)"		"Astron (2019)"	"1"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-1700-1"	"Astron"
20200505085452	"Forêt ouest africaine ripicole de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Riparian forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"37"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191011-1120-77"	"Senterre, Bruno"
20200505090217	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Saxicolous dwarf forest on ironstone of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"38"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191019-1108-100b"	"Senterre, Bruno"
20200505104321	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Swamp forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"40"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1306-64d"	"Senterre, Bruno"
20200505111213	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Saxicolous dwarf forest on ironstone of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"40"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191009-0948-70"	"Senterre, Bruno"
20200505111559	"Permanent secondary forest (EN)"		"Astron (2019)"	"3"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-2134-3"	"Astron"
20200505111937	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Overdrained dwarf forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"40"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191010-1152-75"	"Senterre, Bruno"
20200505112446	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Mesic forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"41"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1305-64e"	"Senterre, Bruno"
20200505112837	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Ravine forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"41"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1304-64f"	"Senterre, Bruno"
20200505114020	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Saxicolous dwarf forest on ironstone of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"42"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1303-64g"	"Senterre, Bruno"
20200505121917	"High altitude gallery forest or thickets (EN)"		"Astron (2019)"	"6"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0334-6"	"Astron"
20200505125814	"High altitude low forest or thickets (EN)"		"Astron (2019)"	"7"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0120-7"	"Astron"
20200505130203	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Overdrained dwarf forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"42"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1302-64h"	"Senterre, Bruno"
20200505130451	"Forêt ouest africaine mésique de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Mesic forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"43"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20190924-0929-1"	"Senterre, Bruno"
20200505131343	"Forêt mésophile de l'étage inférieur à Chrysophyllum perpulchrum et Triplochiton scleroxylon (FR)"		"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0105-371"	"Schnell, Raymond"
20200506085716	"Groupement à Loudetia arundinacea (Loudetietum arundinaceae) (FR)"		"Schnell (1952)"	"381"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2109-381"	"Schnell, Raymond"
20200506091706	"Lowland edaphic savanna (EN)"	"Savane édaphique de basse terre (FR)"	"Golder (2013)"	"11"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-2213-11"	"Golder"
20200506092109	"Lowland edaphic savanna (EN)"		"Astron (2019)"	"13"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-1303-13"	"Astron"
20200506095842	"Végétation herbacée saxicole sur cuirasse ferralitique ou gravillonnaire (bowal) sèche de basse altitude (FR)"		"Aussel (2018)"	"32151"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0709-32151"	"Aussel, Alexia"
20200506100103	"Prairie ouest africaine périodiquement humide saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales de plaine (FR)"	"West African Saxicolous periodically moist grassland on ironstone of the Lowland tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"54"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1556-26"	"Senterre, Bruno"
20200506100725	"Groupement à Loudetia arundinacea et Polygala clarkeana (FR)"		"Schnell (1952)"	"381"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0619-381"	"Schnell, Raymond"
20200506101852	"Ephemeral wetland (EN)"	"Terre humide éphémère (FR)"	"Golder (2013)"	"12"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1722-12"	"Golder"
20200506102538	"Végétation herbacée saxicole sur cuirasse ferralitique ou gravillonnaire (bowal) dans dépression humide de basse altitude (FR)"		"Aussel (2018)"	"32152"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1718-32152"	"Aussel, Alexia"
20200506103530	"Prairie ouest africaine périodiquement marécageuse saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales de plaine (FR)"	"West African Saxicolous seasonal marsh grassland on ironstone of the Lowland tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"55"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1605-26g"	"Senterre, Bruno"
20200506104848	"Groupement à Eriocaulon pumilum et Utricularia subulata (FR)"		"Schnell (1952)"	"382"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1942-382"	"Schnell, Raymond"
20200506105220	"Végétation hydrophile sur bowal (FR)"		"Aussel (2018)"	"4124"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1122-4124"	"Aussel, Alexia"
20200506105447	"Prairie ouest africaine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales submontagnardes (FR)"	"West African Saxicolous grassland on ironstone of the Submontane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"55"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-0851-14"	"Senterre, Bruno"
20200506105723	"Végétation herbacée saxicole sur cuirasse ferralitique ou gravillonnaire (bowal) sèche de haute altitude (FR)"		"Aussel (2018)"	"32153"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1506-32153"	"Aussel, Alexia"
20200506110123	"Prairie ouest africaine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes (FR)"	"West African Saxicolous grassland on ironstone of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"56"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191005-0933-52"	"Senterre, Bruno"
20200506110453	"Prairie ouest africaine périodiquement humide saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes (FR)"	"West African Saxicolous periodically moist grassland on ironstone of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"56"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191007-1452-63"	"Senterre, Bruno"
20200506111013	"Groupement à Mesanthemum prescottianum et Genlisea africana (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0805-384"	"Schnell, Raymond"
20200506111241	"Végétation herbacée saxicole sur cuirasse ferralitique ou gravillonnaire (bowal) dans dépression humide de haute altitude (FR)"		"Aussel (2018)"	"32154"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-2211-32154"	"Aussel, Alexia"
20200506111926	"Prairie ouest africaine périodiquement marécageuse saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes (FR)"	"West African Saxicolous seasonal marsh grassland on ironstone of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"57"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191007-1453-63b"	"Senterre, Bruno"
20200506112239	"Groupement à Panicum pusillum var. glabriglumatum (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1251-384"	"Schnell, Raymond"
20200506113244	"Groupement à Xyris decipiens (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1017-384"	"Schnell, Raymond"
20200506113459	"High-altitude wetland (EN)"	"Terre humide de haute altitude (FR)"	"Golder (2013)"	"13"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1639-13"	"Golder"
20200506113810	"Prairie ouest africaine saxicole sur quartzite de la zone des Forêts tropicales montagnardes (FR)"	"West African Saxicolous grassland on quartzite of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"57"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191003-0944-34"	"Senterre, Bruno"
20200506114016	"Groupement hélio-xérophile à Tridactyle tridactylites et Polystachya pobeguinii (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2041-384"	"Schnell, Raymond"
20200505091921	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"West African Overdrained dwarf forest of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"38"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1308-64b"	"Senterre, Bruno"
20200505100648	"Forêt ouest africaine mésique de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Mesic forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"38"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1309-64"	"Senterre, Bruno"
20200505101025	"Forêt ombrophile à Lophira procera et Parinari excelsa (FR)"		"Schnell (1952)"	"369"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1450-369"	"Schnell, Raymond"
20200505101647	"Upland evergreen forest (EN)"	"Forêt humide sempervirente de hautes terres (FR)"	"Golder (2013)"	"2"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-0648-2"	"Golder"
20200505102818	"Nimba upland evergreen forest (EN)"		"Astron (2019)"	"12"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0016-12"	"Astron"
20200505103454	"Forêt dense tropicale humide sempervirente guinéenne de Guinée Forestière submontagnarde (> 500m) (FR)"		"Aussel (2018)"	"31112"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1135-31112"	"Aussel, Alexia"
20200505103853	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"40"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191008-1307-64c"	"Senterre, Bruno"
20200505131748	"Moist semi-deciduous forest (EN)"	"Forêt humide semi-caduque de basse terre (FR)"	"Golder (2013)"	"3"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1949-3"	"Golder"
20200505132130	"Moist semi-deciduous lowland forest (EN)"		"Astron (2019)"	"8"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-1744-8"	"Astron"
20200505132541	"Forêt dense tropicale humide semi-sempervirente de basse altitude (<500m) (FR)"		"Aussel (2018)"	"31113"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0509-31113"	"Aussel, Alexia"
20200505132813	"Forêt dense guinéenne mésophile (FR)"		"Aussel (2018)"	"3112"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0930-3112"	"Aussel, Alexia"
20200505133130	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Ravine forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"44"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191004-1426-44"	"Senterre, Bruno"
20200505133514	"Forêt mésophile vallicole à Chidlovia sanguinea (FR)"		"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1022-371"	"Schnell, Raymond"
20200505133827	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Swamp forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"44"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191004-1553-47b"	"Senterre, Bruno"
20200505134323	"Lowland wetland / rice field (EN)"	"Terre humide de basses terres / rizière (FR)"	"Golder (2013)"	"5"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-2235-5"	"Golder"
20200505135810	"Forêt marécageuse sur sol hydromorphe (FR)"		"Aussel (2018)"	"3151"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0722-3151"	"Aussel, Alexia"
20200505140803	"Forêt ouest africaine ripicole de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Riparian forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"45"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191004-1450-45"	"Senterre, Bruno"
20200505142844	"Degraded lowland gallery forest (EN)"	"Forêt galerie de basses terres dégradé (FR)"	"Golder (2013)"	"6"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-0440-6"	"Golder"
20200505143233	"Forêt galerie périodiquement inondée sur sol hydromorphe profond guinéenne (FR)"		"Aussel (2018)"	"31312"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0436-31312"	"Aussel, Alexia"
20200505143455	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Saxicolous dwarf forest on ironstone of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"45"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1557-26f"	"Senterre, Bruno"
20200505151119	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Overdrained dwarf forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"46"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191004-1108-40"	"Senterre, Bruno"
20200505152142	"Drier semi-deciduous forest (EN)"	"Forêt sèche semi-caduque (FR)"	"Golder (2013)"	"7"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1649-7"	"Golder"
20200505152436	"Drier semi-deciduous forest (EN)"		"Astron (2019)"	"11"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-1746-11"	"Astron"
20200505152705	"Forêt ouest africaine mésique de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Mesic forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"47"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191005-1030-54"	"Senterre, Bruno"
20200505152959	"Forêts mésophiles submontagnardes à Parinari excelsa et Carapa procera (FR)"		"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1718-371"	"Schnell, Raymond"
20200505153239	"Forêt dense tropicale humide semi-sempervirente submontagnarde (>500m) (FR)"		"Aussel (2018)"	"31114"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1205-31114"	"Aussel, Alexia"
20200505153713	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"48"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191005-1054-56"	"Senterre, Bruno"
20200505153951	"Forêt mésophile à Parinari excelsa, Chidlovia sanguinea et Carapa procera (FR)"		"Schnell (1952)"	"371"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2309-371"	"Schnell, Raymond"
20200505154339	"Upland gallery forest (EN)"	"Forêt galerie de hautes terres (FR)"	"Golder (2013)"	"8"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-2353-8"	"Golder"
20200505154657	"Forêt galerie marécageuse sur sol hydromorphe de montagne (FR)"		"Aussel (2018)"	"3133"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-2246-3133"	"Aussel, Alexia"
20200505155204	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Swamp forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"48"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20190922-1259-4"	"Senterre, Bruno"
20200505155419	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Saxicolous dwarf forest on ironstone of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"49"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1558-26c"	"Senterre, Bruno"
20200505155658	"Variante édaphique du groupement à Parinari excelsa et Carapa procera (FR)"		"Schnell (1952)"	"372"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0628-372"	"Schnell, Raymond"
20200505160214	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Overdrained dwarf forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"49"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1559-26d"	"Senterre, Bruno"
20200505160431	"Forêt ouest africaine mésique de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Mesic forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"49"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191002-0940-27"	"Senterre, Bruno"
20200505161636	"High altitude gallery forest (EN)"	"Forêt galerie de haute altitude (FR)"	"Golder (2013)"	"9"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1919-9"	"Golder"
20200505162051	"Forêts denses guinéennes hautes de haute montagne (FR)"		"Aussel (2018)"	"31133"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-2213-31133"	"Aussel, Alexia"
