"kbaName"	"taxonID"	"scientificName"	"nKBA"	"n"	"ratio"	"vernacularName"	"species_short"	"establishmentMeansNat"	"threatStatusNat"	"threatStatusGlobal"	"isTrigger"
"Aldabra"	"19442c44-d71f-4793-8fce-78036ec847f0"	"Phyllanthus pervilleanus (Baill.) Müll.Arg."	1	32	3.1	"Bois castique, Kastik, Kirganellie"	"Phyllanthus pervilleanus "	"native"	""	"LC"	""
"Aldabra"	"19e4bd94-80c1-4d3a-84c9-4b93ee150eed"	"Cymodocea serrulata (R.Br.) Asch. & Magnus"	1	2	50	""	"Cymodocea serruIata "	"native"	"LC"	""	" B4"
"Aldabra"	"1c6e2bf3-caca-46d3-942a-3bd9b4ed43fc"	"Pisonia grandis R.Br."	4	19	21.1	"Bois mapou, Bwa mapou, Bwamapou, Mapou"	"Pisonia grandis "	"native"	""	""	" B4"
"Aldabra"	"1d120dff-0baf-44cf-893d-9cd6f78ec74e"	"Cassytha filiformis L."	1	33	3	"Dodder, Lalyann san fen, Lalyann sanfen, Liane sans fin"	"Cassytha filiformis "	"native"	""	""	""
"Aldabra"	"1e1dc698-26c6-43a5-862d-edcc900219e1"	"Ischaemum rugosum Salisb. "	1	1	100	""	"Ischaemum rugosum "	"native"	""	"LC"	" B4"
"Aldabra"	"1fcddc92-340b-4e37-841e-9a6672b26528"	"Acampe praemorsa (Roxb.) Blatt. & McCann"	1	2	50	"Fleur de putantil"	"Acampe praemorsa "	"native"	"CR"	""	" A2an B4"
"Aldabra"	"20201116101338"	"Vincetoxicum indicum (Burm.f.) Mabb."	1	3	33.3						" B4"
"Aldabra"	"20201116102558"	"Vincetoxicum confusum Meve & Liede"	1	1	100	"Lepeka dipei"	"Vincetoxicum confusum "	"native"	"EN"	""	" A2an B4"
"Aldabra"	"20210803092404"	"Guilandina bonduc L."	1	15	6.7	""	"Guilandina bonduc "	"native"	""	""	""
"Aldabra"	"20220516092810"	"Cynanchum viminale (L.) L. subsp. brunonianum (Wight & Arn.) Meve & Liede"	1	41	2.4	""	"Cynanchum viminale subsp. brunonianum"	"native"	""	""	""
"Aldabra"	"21066c03-3156-4c0a-a93b-9e5503c8dc42"	"Dioscorea bemarivensis Jum. & H.Perrier"	1	4	25	"Cambare, Kanbar"	"Dioscorea bemarivensis "	"native"	""	""	" B4"
"Aldabra"	"2183b2e0-3c2a-415d-9761-1662a43d1d3a"	"Agave sisalana Perrine ex Engelm."	1	17	5.9						""
"Aldabra"	"2249a2ae-296d-41cd-b25c-a49dbd6525de"	"Amaranthus viridis L."	1	4	25						" B4"
"Aldabra"	"23890bd8-b535-49dc-8f1e-aa520447510b"	"Citrus aurantiifolia (Christm.) Swingle"	1	12	8.3						""
"Aldabra"	"23bdfc89-7da5-435e-95e0-97c772e1ea98"	"Cyperus ligularis L."	1	25	4	"Swamp flat sedge"	"Cyperus ligularis "	"native"	""	""	""
"Aldabra"	"24a06328-34d8-4829-ba53-fcc95c4e61ac"	"Turnera ulmifolia L."	2	55	3.6						""
"Aldabra"	"24e81823-89f9-40f7-8de2-c719277aced3"	"Ocimum gratissimum L."	1	9	11.1						""
"Aldabra"	"25354969-0e1a-45b0-93b0-0ecec3f35db5"	"Guettarda speciosa L."	1	29	3.4	"Beach gardenia, Bois cassant bord de mer, Bwa kasan bordmer, Bwa kasan bor-d-mer, Bwakasan bordmer"	"Guettarda speciosa "	"native"	"LC"	"LC"	""
"Aldabra"	"25f9732f-1e08-4b12-9177-2299ee61c6d5"	"Flacourtia indica (Burm.f.) Merr."	6	13	46.2	"Indian plum, Madagascar plum, Prune, Prune marron, Prunier"	"Flacourtia indica "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"2a5f9173-ec1a-4588-9389-3ba8e1361126"	"Congea tomentosa Roxb."	1	4	25						" B4"
"Aldabra"	"2b1ffda9-b53a-4110-a68d-7b07d09ed5a6"	"Sophora tomentosa L."	1	13	7.7	"Bois chapelet, Bwa saple, Bwasaple"	"Sophora tomentosa "	"native"	""	""	""
"Aldabra"	"2b656f95-cb28-4862-953e-ec0f494dff3f"	"Cucurbita moschata Duchesne"	1	13	7.7						""
"Aldabra"	"2bb36c77-ae12-400f-a86d-93d2ad5a52c4"	"Abrus precatorius L. subsp. africanus Verdc."	1	62	1.6	"Lalyann reglis, Liane réglisse, Reglis, Réglisse"	"Abrus precatorius subsp. africanus"	"native"	""	""	""
"Aldabra"	"2fa4e64c-70fc-425e-a12d-61d0c28d59f8"	"Ficus lutea Vahl"	2	261	0.8	"Afouche grande feuille, Afouche rouge, La fouche grand feuille, Lafouche rouge, Lafous gran fey"	"Ficus lutea "	"native"	"LC"	"LC"	""
"Aldabra"	"3031f889-e098-4fed-9d79-fd61b74e0f73"	"Nicotiana tabacum L."	2	7	28.6						" B4"
"Aldabra"	"30a618df-8d83-4531-b125-fddb0362b860"	"Dactyloctenium ctenoides (Steud.) Lorch ex Bosser"	1	37	2.7	"Chien dent, Herne bourrique, Lerb bourik, Patte de poule"	"Dactyloctenium ctenoides "	"native"	""	""	""
"Aldabra"	"30c50e03-0f51-4392-adf6-1c9a92b88c87"	"Scutia myrtina (Burm.f.) Kurz"	1	4	25	"Bambara, Bois senti, Bwa santi, Tire bonnet"	"Scutia myrtina "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"315faf00-672e-4910-ab28-4d662b3696eb"	"Lumnitzera racemosa Willd."	2	25	8	"Manglier à petite feuilles, Mangliye pti fey"	"Lumnitzera racemosa "	"native"	"LC"	"LC"	""
"Aldabra"	"316fc6ff-2f6f-4484-bb0c-5c688d555718"	"Sclerodactylon macrostachyum (Benth.) A.Camus"	1	2	50	"Herb bayonette, Herbe piquant"	"Sclerodactylon macrostachyum "	"native"	""	""	" B4"
"Aldabra"	"32b2f84a-40ad-400e-8965-968468d48ea1"	"Ipomoea obscura (L.) Ker Gawl."	1	23	4.3						""
"Aldabra"	"33766a47-dd16-4618-9fb1-ce00247ac02e"	"Tarenna grevei (Drake) Homolle"	1	2	50	""	"Tarenna grevei "	"native"	""	"LC"	" B4"
"Aldabra"	"34621901-1d0c-44cd-85f3-86bffa0b5b9f"	"Pisonia aculeata L."	3	4	75	""	"Pisonia aculeata "	"native"	"CR"	""	" A2an B4"
"Aldabra"	"353ee4bd-3925-479e-9a56-46484976f338"	"Pyrostria bibracteata (Baker) Cavaco"	2	405	0.5	"Bois dur rouge, Bwa dir, Bwa dir rouz, Bwadir rouz"	"Pyrostria bibracteata "	"native"	""	"LC"	""
"Aldabra"	"3605d0d9-c118-4939-9bcf-fa5f39978223"	"Erythrina variegata L."	2	5	40	"Bwa mourouk, Mourouc, Mourouk, Nourouc"	"Erythrina variegata "	"native"	""	"LC"	" B4"
"Aldabra"	"3657d90b-1dba-403b-af5f-699568a92c2e"	"Eriochloa meyeriana (Nees) Pilg."	1	2	50	""	"Eriochloa meyeriana "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"36f2c764-24c1-4157-85cc-d56159e79324"	"Coptosperma supra-axillare (Hemsl.) Degreef"	2	2	100	""	"Coptosperma supra-axillare "	"native"	""	"LC"	" B4"
"Aldabra"	"3712bd69-0d9f-4293-aa19-e90ababbd837"	"Sida pusilla Cav."	2	24	8.3	"Herb dur"	"Sida pusilla "	"native"	""	""	""
"Aldabra"	"399d1448-733a-4cc8-a64b-a185f5ffb186"	"Xylocarpus granatum J.Koenig"	1	12	8.3	"Casse tete chinois?, Manglier, Manglier pomme, Mangliye ponm, Puzzle nut"	"Xylocarpus granatum "	"native"	"LC"	"LC"	""
"Aldabra"	"3a495c65-8768-43d5-a901-35b7fddb308a"	"Digitaria horizontalis Willd."	1	17	5.9						""
"Aldabra"	"3b9d6e00-2071-4fa7-9e05-4a18d442f605"	"Syringodium isoetifolium (Asch.) Dandy"	1	4	25	""	"Syringodium isoetifolium "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"3bf391cd-56aa-44d3-a364-879940f522a2"	"Lantana camara L."	2	53	3.8						""
"Aldabra"	"3cc172d0-656f-42e1-8a51-b61dd3a55441"	"Digitaria setigera Roth"	1	12	8.3	"Herbe gros gazon, Herbe perard grande"	"Digitaria setigera "	"native"	""	""	""
"Aldabra"	"3cc3f763-a814-4e39-bfc4-d6fd5cc65fc1"	"Abutilon angulatum (Guill. & Perr.) Mast."	1	3	33.3	"Mauve, Mauve batard"	"Abutilon angulatum "	"native"	""	""	" B4"
"Aldabra"	"3d9c581f-91c8-4e29-964b-55ce0958a041"	"Viscum triflorum DC."	1	14	7.1	"Bois marmaille, Bwa manrmay, Bwa marmay, Bwamanrmay, Gui du pays"	"Viscum triflorum "	"native"	"EN"	""	" A2an"
"Aldabra"	"3e1a8cf9-e6dc-43d2-82ba-a86dbe05af4d"	"Tamarindus indica L."	2	19	10.5						""
"Aldabra"	"3e9da1e0-5538-4ed1-af8a-a395be1a1463"	"Carica papaya L."	1	37	2.7						""
"Aldabra"	"3f04a217-c8ab-473d-b23d-6d1c7b8e2ff5"	"Boerhavia coccinea Mill."	1	14	7.1						""
"Aldabra"	"4080a8eb-6f5d-412f-afc2-90009edd85a7"	"Alternanthera pungens Kunth"	1	1	100						" B4"
"Aldabra"	"41869264-e275-4fd7-96bd-d330c02d102e"	"Solanum lycopersicum L."	1	10	10						""
"Aldabra"	"41d9a614-605f-4f89-a242-ea6bc7f552ff"	"Cenchrus polystachios (L.) Morrone"	1	31	3.2	"Herbe ma tante, Lerb matant"	"Cenchrus polystachios "	"native"	""	""	""
"Aldabra"	"420dcdc9-f55a-46d3-be4f-f8f67aa4f11e"	"Fimbristylis cymosa R.Br."	1	35	2.9	""	"Fimbristylis cymosa "	"native"	"LC"	"LC"	""
"Aldabra"	"4350e21d-3994-4c9c-8b61-5097089edbd6"	"Eugenia levinervis (Fosberg) A.J.Scott"	2	2	100	""	"Eugenia levinervis "	"nativeEndemic"	"CR"	""	" A2an B4"
"Aldabra"	"44857396-68f3-4787-8ffa-3e47d56f995e"	"Polysphaeria multiflora Hiern"	1	4	25	"Cafe, Pti kafe de zil"	"Polysphaeria multiflora "	"native"	""	""	" B4"
"Aldabra"	"459c63f9-8e14-47ea-b5f9-f75cd2f69cb2"	"Hypoestes aldabrensis Baker"	1	4	25	""	"Hypoestes aldabrensis "	"nativeEndemic"	""	""	" B4"
"Aldabra"	"45dec207-a3b9-4ba0-86bc-de60db40e47d"	"Annona squamosa L."	1	12	8.3						""
"Aldabra"	"46e21a71-cdeb-44b4-b3e8-4349d0fbb47c"	"Teramnus labialis (L.f.) Spreng. subsp. arabicus Verdc."	1	13	7.7						""
"Aldabra"	"486cca0f-3c17-4022-8db4-6e6d9bc37e9b"	"Launaea intybacea (Jacq.) Beauverd"	3	7	42.9						" B4"
"Aldabra"	"4a2c6e40-4a2b-4e4d-91be-c0aeadd30255"	"Acalypha indica L."	2	30	6.7						""
"Aldabra"	"4bd7d841-ddd6-4e97-96b6-f20ed33621e7"	"Bacopa monnieri (L.) Wettst."	1	1	100	""	"Bacopa monnieri "	"native"	""	""	" B4"
"Aldabra"	"4bf6e7a1-245f-4a70-b4da-30b4a915afee"	"Secamone pachystigma Jum. & H.Perrier"	3	5	60	""	"Secamone pachystigma "	"native"	""	""	" B4"
"Aldabra"	"4cba261b-0fab-4036-8246-8a0bfbedb1b3"	"Bulbostylis basalis Fosberg"	1	2	50	""	"Bulbostylis basalis "	"native"	""	""	" B4"
"Aldabra"	"4da758bd-eec8-4d73-b941-8ed57c81eb2b"	"Cyanthillium cinereum (L.) H.Rob."	1	34	2.9						""
"Aldabra"	"4daf0609-4b46-46f0-a624-ce89f646419e"	"Thalassia hemprichii (Ehrenb. ex Solms) Asch."	1	8	12.5	"Turtle grass"	"Thalassia hemprichii "	"native"	"LC"	"LC"	""
"Aldabra"	"4fb89c01-4ced-4318-be6d-fde4529e778b"	"Eleusine indica (L.) Gaertn."	1	26	3.8	"Chiendent patte de poule, Herbe patte de poule"	"Eleusine indica "	"native"	""	""	""
"Aldabra"	"517cc4f3-664b-4319-8efe-84e77801d54a"	"Pemphis acidula J.R.Forst. & G.Forst."	3	15	20	"Bois d'amande, Bwa Daman, Bwadanmann"	"Pemphis acidula "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"51b2cbfc-57e8-44b0-8fb4-ae4c63576329"	"Boerhavia crispifolia Fosberg"	1	1	100	""	"Boerhavia crispifolia "	"nativeEndemic"	""	""	" B4"
"Aldabra"	"51ee6f44-c4c7-4d31-b134-8440052c2c13"	"Ocimum tenuiflorum L."	1	3	33.3						" B4"
"Aldabra"	"521d52e1-274c-44cc-916a-3a09ca74f40e"	"Paspalum vaginatum Sw."	1	6	16.7						""
"Aldabra"	"536116f4-96bd-4f22-9336-125d319c301a"	"Dactyloctenium pilosum Stapf"	1	7	14.3	""	"Dactyloctenium pilosum "	"native"	""	""	""
"Aldabra"	"538201b5-98d4-4355-b340-9f855c86d2fd"	"Ricinus communis L."	1	18	5.6						""
"Aldabra"	"5687511c-41d0-4f1b-996c-620b38ef4b8f"	"Macphersonia gracilis O.Hoffm. var. hildebrandtii (O.Hoffm.) Capuron"	2	5	40	"Tamarin batard, Tamarin batard?, Tamarind marron?, Tanmaren batar"	"Macphersonia gracilis var. hildebrandtii"	"native"	""	""	" B4"
"Aldabra"	"593a7c8f-eb4a-4558-9c41-af55c64ac436"	"Ficus rubra Vahl"	2	41	4.9	"Lafouche, Lafouche petite feuille, Lafous, Multipliant petite feuille"	"Ficus rubra "	"native"	"LC"	"LC"	""
"Aldabra"	"59c72245-73d4-49b7-a6b4-e904effa1dc1"	"Sporobolus virginicus (L.) Kunth"	1	20	5	""	"Sporobolus virginicus "	"native"	""	"LC"	""
"Aldabra"	"5af3aba7-e2d3-4ed1-92fd-077c94adc218"	"Passiflora suberosa L."	1	63	1.6						""
"Aldabra"	"5b0fff9d-991b-4118-bd3c-18bc96f9cab8"	"Malleastrum depauperatum (Baill.) J.-F.Leroy"	2	2	100	"Bois trois feuilles, Bwa trwa fey"	"Malleastrum depauperatum "	"native"	"VU"	""	" A2bn B4"
"Aldabra"	"5c4daf4b-8190-47f5-b844-cf24d89e939a"	"Rhizophora mucronata Lam."	1	70	1.4	"Manglier gros poumon, Manglier hauban, Mangliye oban, Mangliye rouz, Mangrove"	"Rhizophora mucronata "	"native"	"LC"	"LC"	""
"Aldabra"	"5d9556ad-96eb-4c4e-8334-83d666cda041"	"Corchorus aestuans L."	1	7	14.3						""
"Aldabra"	"5dad086e-3036-4135-8600-aad8fe2ab566"	"Panicum aldabrense Renvoize"	1	1	100	""	"Panicum aldabrense "	"nativeEndemic"	""	""	" B4"
"Aldabra"	"5dd591c7-b33c-4b40-9562-bab4cb2453cb"	"Pycreus pumilus (L.) Nees"	1	1	100	""	"Pycreus pumilus "	"native"	""	""	" B4"
"Aldabra"	"5df5d5e3-67fe-48f7-83bb-25bde70f0dbb"	"Manihot esculenta Crantz"	1	20	5						""
"Aldabra"	"5e6f079f-f059-41e7-a855-1cd9230f7dff"	"Catharanthus roseus (L.) G.Don"	1	63	1.6						""
"Aldabra"	"62f3baf3-0127-44b8-b362-694cd7e1829b"	"Sida rhombifolia L."	1	6	16.7						""
"Aldabra"	"64017ade-33b7-4b46-b4bc-e542327352b9"	"Fimbristylis ferruginea (L.) Vahl"	1	1	100	""	"Fimbristylis ferruginea "	"native"	""	""	" B4"
"Aldabra"	"66a0ed77-a00d-40f6-b2cf-08f12133e132"	"Tabernaemontana coffeoides Bojer ex A.DC."	1	53	1.9	"Bois cuiller, Bois cuillère, Bois de lait, Bwa kwiyer, Bwakwiyer"	"Tabernaemontana coffeoides "	"native"	""	""	""
"Aldabra"	"68f9a9b4-7a90-47c9-a207-fa2493220138"	"Glinus oppositifolius (L.) A.DC."	1	6	16.7	""	"Glinus oppositifolius "	"native"	"LC"	"LC"	""
"Aldabra"	"697eabf3-36c6-48d0-b631-0f8e3feeaf55"	"Ochna ciliata Lam."	2	11	18.2	"Bois bouquet, Bois démon, Bois mangue, Bwa bouke, Bwa demon, Bwabouke, Bwademon"	"Ochna ciliata "	"native"	""	"LC"	""
"Aldabra"	"6989cd02-f5ca-4bb0-8f1f-42fe1c22b544"	"Allophylus aldabricus Radlk."	1	4	25	""	"Allophylus aldabricus "	"nativeEndemic"	"VU"	"VU"	"A2b A2bn B4"
"Aldabra"	"6add9957-65fd-431e-8d29-99bc9639049f"	"Hederorkis seychellensis Bosser"	1	37	2.7	"Orkid rezim"	"Hederorkis seychellensis "	"nativeEndemic"	"EN"	"EN"	""
"Aldabra"	"6b5872f4-b616-4fd0-80ba-d05060e62e15"	"Capsicum annuum L."	1	5	20						" B4"
"Aldabra"	"6b844b93-a8d1-4801-9164-218cc2271e09"	"Thespesia populnea (L.) Sol. ex Corrêa"	1	27	3.7	"Bois de rose, Bois de rose rouge, Bwadroz, Bwa-d-roz, Portia tree"	"Thespesia populnea "	"native"	"LC"	"LC"	""
"Aldabra"	"6b9f89eb-85f5-486f-abc3-1d1080fc25e6"	"Ehretia cymosa Thonn."	2	2	100	""	"Ehretia cymosa "	"native"	""	"LC"	" B4"
"Aldabra"	"70fb0e1d-b195-441c-813e-55a088f399e4"	"Salvadora angustifolia Turrill"	2	3	66.7	"Tambalico, Tampalocoque"	"Salvadora angustifolia "	"native"	""	"LC"	" B4"
"Aldabra"	"71168945-afaa-4cce-96cc-6a422d26c557"	"Euphorbia pyrifolia Lam."	1	116	0.9	"Bois de lait, Bwa dile, Bwadile, Fangame, Faudamon, Tanghin, Tanghin rouge, Tonga"	"Euphorbia pyrifolia "	"native"	""	"LC"	""
"Aldabra"	"71f0c4b5-0182-46cc-b75a-d3af2c3f98b7"	"Grewia glandulosa Vahl"	2	4	50	"Mabolo"	"Grewia glandulosa "	"native"	"VU"	"LC"	" A2bn B4"
"Aldabra"	"73bae395-29ed-4d8d-b0e0-eaec3107c0f1"	"Dracaena reflexa Lam. var. angustifolia Baker"	1	2	50	"Bois chandelle, Bois chandelle blanc, Bois chandelle rouge (but Bailey probably refers to Cordyline fruticosa), Bwa sandel, Bwasandel, Pleomele"	"Dracaena reflexa var. angustifolia"	"native"	""	""	" B4"
"Aldabra"	"769ead94-f3cf-454a-a049-4d37f3536f63"	"Gymnanthemum coloratum (Willd.) H.Rob. & B.Kahn"	2	5	40	""	"Gymnanthemum coloratum "	"native"	""	""	" B4"
"Aldabra"	"777550ae-e657-4653-8bd9-688983bdc86f"	"Pandanus aldabraensis H.St.John"	2	2	100	""	"Pandanus aldabraensis "	"nativeEndemic"	"VU"	"VU"	"A2b A2bn B4"
"Aldabra"	"79752f93-9590-4e1c-8987-9b934bc8088d"	"Enteropogon sechellensis (Benth.) T.Durand & Schinz"	1	20	5	"Gazon"	"Enteropogon sechellensis "	"native"	""	""	""
"Aldabra"	"79d24f29-d2f3-4e94-a2e4-94603306d775"	"Terminalia catappa L."	1	163	0.6	"Badamier, Bodanmyen, Indian almond, Indian Almond tree"	"Terminalia catappa "	"native"	"LC"	"LC"	""
"Aldabra"	"79f730be-6cc8-4c4b-ad1c-7af84742c5e0"	"Lagrezia oligomeroides (C.H.Wright) Fosberg "	1	3	33.3	""	"Lagrezia oligomeroides "	"native"	""	""	" B4"
"Aldabra"	"7a223f4f-345c-47cc-99a5-5c983ac1c6e6"	"Heliotropium arboreum (Blanco) Mabb."	1	28	3.6	""	"Heliotropium arboreum "	"native"	""	"LC"	""
"Aldabra"	"7aca405e-0702-4f01-8a3b-65bdd1a4c2a5"	"Moringa oleifera Lam."	2	30	6.7						""
"Aldabra"	"7f3b001b-3dfd-41a8-8983-4e8faec1a5b2"	"Mirabilis jalapa L."	1	16	6.2						""
"Aldabra"	"800389c8-150b-4b84-b6c5-6be69115767d"	"Sesuvium portulacastrum (L.) L."	1	5	20	"Pourpier"	"Sesuvium portulacastrum "	"native"	""	"LC"	" B4"
"Aldabra"	"8097aa3f-92fe-45f7-92b7-968d30d519d0"	"Erythroxylum platycladum Bojer"	3	5	60	"Bois sandol, Sandol"	"Erythroxylum platycladum "	"native"	"VU"	""	" A2bn B4"
"Aldabra"	"81851f29-29cd-4657-adfe-a36210cec6a8"	"Solanum melongena L."	1	11	9.1						""
"Aldabra"	"8396d97e-1f05-4631-a4e5-df120f60194e"	"Euphorbia hirta L."	1	38	2.6						""
"Aldabra"	"8441ee06-e38d-42f1-bec5-f1077503558e"	"Cassipourea lanceolata Tul."	5	5	100	""	"Cassipourea lanceolata "	"native"	"VU"	""	" A2bn B4"
"Aldabra"	"85d503db-eb99-4279-a193-d3ee1b4a5fa7"	"Phyllanthus maderaspatensis L. var. frazieri Fosberg"	1	1	100	""	"Phyllanthus maderaspatensis var. frazieri"	"native"	""	""	" B4"
"Aldabra"	"869c1b21-ff41-471f-b48b-b6d95df337b1"	"Dodonaea viscosa (L.) Jacq."	1	44	2.3	"Bois de reinette, Bwa renet, Bwadrenet, Bwa-d-renet"	"Dodonaea viscosa "	"native"	"LC"	"LC"	""
"Aldabra"	"87035e48-c51d-45cb-a4ef-df185fa8af4d"	"Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs"	1	31	3.2						""
"Aldabra"	"880f5dea-67d2-480d-bb07-9a0838a42371"	"Euphorbia stoddartii Fosberg"	2	7	28.6	"Trainasse"	"Euphorbia stoddartii "	"native"	""	""	" B4"
"Aldabra"	"8922d109-2f15-4365-8f77-69df3c4e0ca5"	"Hedyotis prolifera Fosberg "	3	4	75	""	"Hedyotis prolifera "	"nativeEndemic"	""	""	" B4"
"Aldabra"	"8a1221b5-91f0-4b58-a046-d9d833c92c6f"	"Delonix regia (Bojer ex Hook.) Raf."	1	11	9.1						""
"Aldabra"	"8a1df862-ec2c-4d51-9178-0429cc18b5d1"	"Terminalia boivinii Tul."	2	4	50	"Bois faune"	"Terminalia boivinii "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"8bebf74a-d50e-4c0f-b43f-843937b45d9c"	"Brassica nigra (L.) W.D.J.Koch"	1	4	25						" B4"
"Aldabra"	"8d1b18de-fb91-40a0-b277-3aaeac1311c3"	"Cleome gynandra L."	1	11	9.1						""
"Aldabra"	"8de413b1-c96a-4ae3-8245-c9130e43af1d"	"Portulaca mauritiensis Poelln. var. aldabrensis Fosberg"	1	2	50	"Kourpye, Pourpier"	"Portulaca mauritiensis var. aldabrensis"	"native"	""	""	" B4"
"Aldabra"	"8e01d9fe-6f1b-4d90-83bc-fa4df5e477fd"	"Halodule uninervis (Forssk.) Asch."	1	4	25	""	"Halodule uninervis "	"native"	"LC"	"LC"	" B4"
"Aldabra"	"904be574-cf0c-49bd-999b-c272a08465a3"	"Xylocarpus moluccensis (Lam.) M.Roem."	1	15	6.7	"Casse-tête chinois, Mangliye pasyans"	"Xylocarpus moluccensis "	"native"	""	""	""
"Aldabra"	"91860751-9442-4a68-8561-638b3fcc8622"	"Deeringia spicata (Thouars) Schinz"	1	2	50	""	"Deeringia spicata "	"native"	""	""	" B4"
"Aldabra"	"918ec006-a49f-4453-930e-ea51bb03b61d"	"Cleome strigosa (Bojer) Oliv."	3	6	50	"Bred caya"	"Cleome strigosa "	"native"	""	""	" B4"
"Aldabra"	"92dce5c2-86c3-4c49-91bc-f894aed5201f"	"Lepturus repens (G.Forst) R.Br."	1	15	6.7	""	"Lepturus repens "	"native"	""	""	""
"Aldabra"	"9533b55b-9a41-49c1-bbba-c54145545d33"	"Casuarina equisetifolia L."	2	120	1.7	"Cèdre, Filao, Pin, Sed, Whistling pine"	"Casuarina equisetifolia "	"native"	""	""	""
"Aldabra"	"9686f22c-79e4-4990-ba78-492d6887ab9b"	"Sporobolus aldabrensis Renvoize"	1	1	100	""	"Sporobolus aldabrensis "	"nativeEndemic"	""	""	" B4"
"Aldabra"	"99201469-ad10-47c7-b869-3b8dd3c21304"	"Gossypium hirsutum L."	1	16	6.2						""
"Aldabra"	"995e9a3c-9e7e-4123-bafe-4a3ae1d23140"	"Sida acuta Burm.f."	1	20	5						""
