"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesReference"	"ecoSpeciesReferencePage"	"ecoSpeciesReferenceID"	"ecoSpeciesDate"	"ecoSpeciesBiotype"	"ecoSpeciesAuthor"	"ecoSpeciesEN"	"ecoSpeciesFR"	"ecoSpeciesENFR"	"synof_ecoSpeciesID"	"synof_ecoSpecies"	"synof_ecoSpeciesBiotype"	"nomenclaturalStatus"	"IUCNL3ID"	"IUCNL3"	"BIOL4ID"	"BIOL4"	"BIOL4Ordering"	"lifeZone"	"ecoOrder"	"ecoFamily"	"ecoGenus"	"ecoGenusOrdering"	"RLEStatus"
"20200505071317"	"Groupement à Lophira et Chidlovia sanguinea (FR)"	""	"Schnell (1952)"	"369"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-1113-369"	"Schnell, Raymond"	""	"Groupement à Lophira et Chidlovia sanguinea (FR)"	"Groupement à Lophira et Chidlovia sanguinea (FR)"	"20200503122437"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"BS61-20191015-1225-82"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200813150647"	"Valley Bottom (EN)"	""	"Hawthorne (2010)"	"10, 39"	""	2010-07-31	"20200813154812"	"Hawthorne, William D."	"Valley Bottom (EN)"	""	"Valley Bottom (EN)"	"20200503122437"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"BS61-20191015-1225-82"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200503123357"	"Variante vallicole du groupement à Tarrietia utilis et Lophira procera (FR)"	""	"Schnell (1952)"	"366"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-2217-366"	"Schnell, Raymond"	""	"Variante vallicole du groupement à Tarrietia utilis et Lophira procera (FR)"	"Variante vallicole du groupement à Tarrietia utilis et Lophira procera (FR)"	"20200503122437"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"BS61-20191015-1225-82"	"bb-Heterotypic names"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.1"	"T1.1.1 Tropical-subtropical lowland superhumid rain forests"	1	"Tropical lowland perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505112837"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Ravine forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"41"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191008-1304-64f"	"Senterre, Bruno"	"West African Ravine forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"West African Ravine forest of the Montane tropical perhumid moist evergreen rainforest zone (EN)"	"20200505112837"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes montagnardes (FR)"	"BS61-20191008-1304-64f"	"aa-Active Valid"	"T1.3"	"T1.3 Tropical-subtropical montane rainforests"	"BIO-T2.1.1"	"T2.1.1 Tropical-subtropical lower montane superhumid rain forests"	12	"Tropical lower montane perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505103853"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Senterre et al. (2019)"	"40"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191008-1307-64c"	"Senterre, Bruno"	"West African Ravine forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"West African Ravine forest of the Submontane tropical perhumid moist evergreen rainforest zone (EN)"	"20200505103853"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales perhumides sempervirentes submontagnardes (FR)"	"BS61-20191008-1307-64c"	"aa-Active Valid"	"T1.1"	"T1.1 Tropical-subtropical lowland rainforests"	"BIO-T1.1.4"	"T1.1.4 Tropical-subtropical submontane rain forests"	4	"Tropical submontane perhumid"	"Inland (non-coastal) upland"	"Ravine"	"Ravine forest"	80	""
"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Swamp forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"44"	"https://doi.org/10.13140/RG.2.2.13242.93129"	2019-12-30	"BS61-20191004-1553-47b"	"Senterre, Bruno"	"West African Swamp forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"West African Swamp forest of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1553-47b"	"aa-Active Valid"	"TF1.1"	"TF1.1 Tropical flooded forests and peat forests"	"BIO-TF1.1.2"	"TF1.1.2 Tropical-subtropical lowland swamp forests and woodlands"	134	"Tropical lowland humid"	"Inland (non-coastal) wetland (incl. floating vegetation)"	"Inland swamp"	"Freshwater swamps"	73	""
"20200505135810"	"Forêt marécageuse sur sol hydromorphe (FR)"	""	"Aussel (2018)"	"3151"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	2018-12-10	"Aussel-20181211-0722-3151"	"Aussel, Alexia"	""	"Forêt marécageuse sur sol hydromorphe (FR)"	"Forêt marécageuse sur sol hydromorphe (FR)"	"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1553-47b"	"bb-Heterotypic names"	"TF1.1"	"TF1.1 Tropical flooded forests and peat forests"	"BIO-TF1.1.2"	"TF1.1.2 Tropical-subtropical lowland swamp forests and woodlands"	134	"Tropical lowland humid"	"Inland (non-coastal) wetland (incl. floating vegetation)"	"Inland swamp"	"Freshwater swamps"	73	""
"20200505074653"	"Forêts marécageuses à Uapaca paludosa et Mitragyna ciliata (FR)"	""	"Schnell (1952)"	"363"	"www.jstor.org/stable/20034533"	1951-12-31	"Schnell-19520101-1020-363"	"Schnell, Raymond"	""	"Forêts marécageuses à Uapaca paludosa et Mitragyna ciliata (FR)"	"Forêts marécageuses à Uapaca paludosa et Mitragyna ciliata (FR)"	"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1553-47b"	"bb-Heterotypic names"	"TF1.1"	"TF1.1 Tropical flooded forests and peat forests"	"BIO-TF1.1.2"	"TF1.1.2 Tropical-subtropical lowland swamp forests and woodlands"	134	"Tropical lowland humid"	"Inland (non-coastal) wetland (incl. floating vegetation)"	"Inland swamp"	"Freshwater swamps"	73	""
"20200505075640"	"Lowland moist riverine / groundwater forest (EN)"	""	"Astron (2019)"	"2"	""	2018-12-31	"Astron-20190101-1311-2"	"Astron"	"Lowland moist riverine / groundwater forest (EN)"	""	"Lowland moist riverine / groundwater forest (EN)"	"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1553-47b"	"bb-Heterotypic names"	"TF1.1"	"TF1.1 Tropical flooded forests and peat forests"	"BIO-TF1.1.2"	"TF1.1.2 Tropical-subtropical lowland swamp forests and woodlands"	134	"Tropical lowland humid"	"Inland (non-coastal) wetland (incl. floating vegetation)"	"Inland swamp"	"Freshwater swamps"	73	""
"20200505134323"	"Lowland wetland / rice field (EN)"	"Terre humide de basses terres / rizière (FR)"	"Golder (2013)"	"5"	""	2012-12-31	"Golder-20130101-2235-5"	"Golder"	"Lowland wetland / rice field (EN)"	"Terre humide de basses terres / rizière (FR)"	"Lowland wetland / rice field (EN)"	"20200505133827"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"BS61-20191004-1553-47b"	"bb-Heterotypic names"	"TF1.1"	"TF1.1 Tropical flooded forests and peat forests"	"BIO-TF1.1.2"	"TF1.1.2 Tropical-subtropical lowland swamp forests and woodlands"	134	"Tropical lowland humid"	"Inland (non-coastal) wetland (incl. floating vegetation)"	"Inland swamp"	"Freshwater swamps"	73	""
